Issue_time,Forecast_time,Coast,East,Far_West,North,North_Central,South_Central,Southern,West
2017-12-31 18:00:00,2018-01-01 06:00:00,10917.6005859375,2056.40966796875,2774.193359375,1372.255615234375,18188.744140625,9161.8310546875,3685.768798828125,1852.643310546875
2017-12-31 18:00:00,2018-01-01 07:00:00,11253.8486328125,2100.552734375,2780.514892578125,1360.6844482421875,17921.794921875,9024.9306640625,3878.552490234375,1879.5618896484375
2017-12-31 18:00:00,2018-01-01 08:00:00,11185.1640625,2098.724853515625,2734.469970703125,1338.3656005859375,18126.908203125,9096.2275390625,4013.0029296875,1823.6429443359375
2017-12-31 18:00:00,2018-01-01 09:00:00,11436.69140625,2147.53515625,2756.56298828125,1335.148193359375,18689.6875,7884.02783203125,4010.492431640625,1857.3509521484375
2017-12-31 18:00:00,2018-01-01 10:00:00,12384.7099609375,2272.806640625,2802.40380859375,1380.833740234375,19501.060546875,8472.7431640625,4122.623046875,1881.0284423828125
2017-12-31 18:00:00,2018-01-01 11:00:00,12793.4609375,2318.13134765625,2789.172607421875,1424.1455078125,20052.65625,9572.130859375,4353.14306640625,1899.90673828125
2017-12-31 18:00:00,2018-01-01 12:00:00,12855.05078125,2335.874755859375,2783.82177734375,1379.827880859375,20239.498046875,9831.921875,4380.13818359375,1917.375732421875
2017-12-31 18:00:00,2018-01-01 13:00:00,12763.123046875,2332.2822265625,2749.00390625,1439.4599609375,20044.39453125,9994.0654296875,4630.55712890625,1902.43896484375
2017-12-31 18:00:00,2018-01-01 14:00:00,13190.888671875,2304.929443359375,2747.158203125,1378.7293701171875,20134.814453125,9970.8955078125,4761.72607421875,1912.8687744140625
2017-12-31 18:00:00,2018-01-01 15:00:00,13198.24609375,2273.939453125,2753.77294921875,1409.504150390625,19745.859375,10110.90234375,4841.2822265625,1857.975830078125
2017-12-31 18:00:00,2018-01-01 16:00:00,13044.884765625,2218.216796875,2694.470458984375,1402.305908203125,19341.8828125,9683.814453125,4475.6611328125,1861.082275390625
2017-12-31 18:00:00,2018-01-01 17:00:00,12906.849609375,2164.70654296875,2695.570068359375,1383.2117919921875,19051.96484375,9687.7666015625,4784.50390625,1844.375
2017-12-31 18:00:00,2018-01-01 18:00:00,12387.5546875,2065.96630859375,2681.218994140625,1250.92236328125,18393.376953125,8305.95703125,4889.8935546875,1804.4825439453125
2017-12-31 18:00:00,2018-01-01 19:00:00,12112.7197265625,2009.7691650390625,2663.443115234375,1246.222412109375,18576.76953125,8727.7919921875,4781.2587890625,1765.2896728515625
2017-12-31 18:00:00,2018-01-01 20:00:00,12014.1640625,1994.1865234375,2594.810791015625,1161.44580078125,17369.09765625,9017.62109375,4688.318359375,1707.1319580078125
2017-12-31 18:00:00,2018-01-01 21:00:00,12205.2353515625,1919.3980712890625,2581.983154296875,1142.3065185546875,17089.328125,8705.2626953125,4224.0224609375,1665.7696533203125
2017-12-31 18:00:00,2018-01-01 22:00:00,12641.431640625,1907.90380859375,2586.6171875,1106.30517578125,17166.732421875,9289.943359375,4109.94287109375,1665.1336669921875
2017-12-31 18:00:00,2018-01-01 23:00:00,12865.0205078125,1974.650146484375,2641.85595703125,1134.2015380859375,17483.384765625,8710.5107421875,5008.93359375,1690.4404296875
2017-12-31 18:00:00,2018-01-02 00:00:00,13099.3837890625,2073.076904296875,2632.75537109375,1161.7969970703125,17738.138671875,8647.115234375,4430.412109375,1745.742431640625
2017-12-31 18:00:00,2018-01-02 01:00:00,13065.36328125,2113.44482421875,2667.54052734375,1260.8995361328125,18129.6640625,9219.7841796875,4236.9501953125,1755.400634765625
2017-12-31 18:00:00,2018-01-02 02:00:00,13169.248046875,2153.491943359375,2638.63232421875,1197.7235107421875,19004.34375,8526.9345703125,4132.255859375,1752.2264404296875
2017-12-31 18:00:00,2018-01-02 03:00:00,12463.55859375,2136.98046875,2604.950927734375,1189.456787109375,18739.361328125,8884.970703125,4488.3203125,1736.56591796875
2017-12-31 18:00:00,2018-01-02 04:00:00,12179.9833984375,2150.041748046875,2565.536376953125,1302.3836669921875,18114.8203125,8809.46875,3697.314697265625,1719.412109375
2017-12-31 18:00:00,2018-01-02 05:00:00,12091.7626953125,2070.108154296875,2599.86328125,1171.2166748046875,17818.583984375,8365.6298828125,3955.23046875,1695.23046875
2017-12-31 18:00:00,2018-01-02 06:00:00,12015.4697265625,2117.672607421875,2577.319091796875,1232.1954345703125,18023.65234375,8101.5625,4342.75732421875,1684.015869140625
2017-12-31 18:00:00,2018-01-02 07:00:00,11699.73828125,2013.1339111328125,2560.841796875,1209.0408935546875,17815.79296875,7915.81787109375,3838.886474609375,1644.5093994140625
2017-12-31 18:00:00,2018-01-02 08:00:00,11966.91015625,2111.859375,2553.224609375,1307.0421142578125,17948.73046875,8083.4306640625,4131.732421875,1685.3819580078125
2017-12-31 18:00:00,2018-01-02 09:00:00,12032.4501953125,2209.587646484375,2577.18310546875,1289.294921875,18053.923828125,8221.3447265625,3648.32666015625,1703.7445068359375
2017-12-31 18:00:00,2018-01-02 10:00:00,12280.1337890625,2265.618408203125,2592.52294921875,1253.399658203125,18464.083984375,8271.2578125,3752.039794921875,1817.7862548828125
2017-12-31 18:00:00,2018-01-02 11:00:00,12965.126953125,2389.0078125,2614.072509765625,1248.8470458984375,19013.5703125,8748.484375,4359.77978515625,1837.9803466796875
2017-12-31 18:00:00,2018-01-02 12:00:00,12894.005859375,2363.07080078125,2643.75927734375,1256.544189453125,18827.509765625,8555.82421875,4192.82275390625,1787.6839599609375
2017-12-31 18:00:00,2018-01-02 13:00:00,13084.626953125,2280.85107421875,2637.52978515625,1250.50634765625,19088.01953125,8781.3837890625,4071.569091796875,1783.8160400390625
2017-12-31 18:00:00,2018-01-02 14:00:00,12915.646484375,2256.771484375,2650.08056640625,1214.6590576171875,18389.498046875,8415.1220703125,4233.0751953125,1726.781494140625
2017-12-31 18:00:00,2018-01-02 15:00:00,13309.09375,2302.53466796875,2643.597412109375,1190.485595703125,18346.05859375,8850.779296875,4087.2578125,1736.299560546875
2017-12-31 18:00:00,2018-01-02 16:00:00,13027.4365234375,2247.977783203125,2653.0869140625,1201.6719970703125,18188.607421875,8893.0576171875,4190.4013671875,1750.8515625
2017-12-31 18:00:00,2018-01-02 17:00:00,12957.46484375,2206.79296875,2654.827392578125,1328.6298828125,17549.154296875,9171.0517578125,4015.002685546875,1668.3905029296875
2017-12-31 18:00:00,2018-01-02 18:00:00,12848.6953125,2169.064453125,2632.6708984375,1115.749267578125,17377.66015625,9056.6708984375,4074.99072265625,1654.0311279296875
2017-12-31 18:00:00,2018-01-02 19:00:00,12274.916015625,2125.0400390625,2614.798095703125,1126.76708984375,17571.685546875,8599.4404296875,4036.277099609375,1620.54638671875
2017-12-31 18:00:00,2018-01-02 20:00:00,12178.17578125,2011.7073974609375,2585.84521484375,1065.716552734375,16600.87890625,8356.890625,3913.39208984375,1576.0567626953125
2017-12-31 18:00:00,2018-01-02 21:00:00,12351.9423828125,1946.7215576171875,2574.287841796875,1069.3282470703125,16572.060546875,8230.1181640625,3997.571533203125,1578.8936767578125
2017-12-31 18:00:00,2018-01-02 22:00:00,12426.798828125,2052.325927734375,2536.359375,1146.973388671875,18334.71875,8392.5517578125,3883.169677734375,1540.1474609375
2017-12-31 18:00:00,2018-01-02 23:00:00,12570.0205078125,2049.720703125,2560.6416015625,1061.3546142578125,18685.62109375,8469.8544921875,3859.4794921875,1642.176025390625
2017-12-31 18:00:00,2018-01-03 00:00:00,12713.197265625,2131.871337890625,2571.103759765625,1055.5235595703125,16693.861328125,8672.447265625,4043.888671875,1773.311767578125
