Issue_time,Forecast_time,Coast,East,Far_West,North_Central,North,South_Central,Southern,West
2018-12-06 06:00:00,2018-12-06 13:00:00,11230.087890625,1819.0296630859375,3148.588623046875,14110.013671875,1057.1944580078125,6865.70703125,3078.071533203125,1343.5732421875
2018-12-06 06:00:00,2018-12-06 14:00:00,11175.890625,1742.5050048828125,3374.3203125,13302.458984375,978.8173828125,6591.0625,3097.88818359375,1324.492431640625
2018-12-06 06:00:00,2018-12-06 15:00:00,10936.623046875,1641.3624267578125,3112.730224609375,13002.1689453125,923.6351928710938,6346.76513671875,3038.347412109375,1287.08349609375
2018-12-06 06:00:00,2018-12-06 16:00:00,10542.3955078125,1583.1285400390625,3092.313720703125,12639.724609375,904.6957397460938,6108.2626953125,3015.497314453125,1286.3984375
2018-12-06 06:00:00,2018-12-06 17:00:00,10557.9091796875,1602.4420166015625,3071.712890625,12729.708984375,905.7385864257812,6332.8828125,3063.991455078125,1283.5284423828125
2018-12-06 12:00:00,2018-12-06 18:00:00,10669.7373046875,1517.542724609375,2992.533935546875,11914.3427734375,931.4818725585938,5919.9833984375,2859.10205078125,1217.676513671875
2018-12-06 12:00:00,2018-12-06 19:00:00,10698.7666015625,1504.4521484375,2909.329833984375,11563.5947265625,880.94921875,5881.0869140625,2995.049072265625,1234.596435546875
2018-12-06 12:00:00,2018-12-06 20:00:00,10908.748046875,1528.050537109375,3140.759765625,12059.4306640625,891.9158935546875,5994.37158203125,3070.37744140625,1243.240234375
2018-12-06 12:00:00,2018-12-06 21:00:00,11116.02734375,1574.3653564453125,2984.734130859375,12424.3623046875,921.0272827148438,6197.05908203125,3181.887451171875,1240.4580078125
2018-12-06 12:00:00,2018-12-06 22:00:00,10822.3310546875,1606.5443115234375,3032.2587890625,12429.8671875,918.1336669921875,6322.13671875,3203.974609375,1287.653564453125
2018-12-06 12:00:00,2018-12-06 23:00:00,10983.068359375,1673.0526123046875,3121.749755859375,12863.9306640625,999.545654296875,6519.8994140625,3239.397705078125,1353.167724609375
2018-12-06 18:00:00,2018-12-07 00:00:00,11440.7060546875,1681.5421142578125,3001.802490234375,13459.3701171875,1038.853759765625,6611.552734375,3142.017333984375,1449.5677490234375
2018-12-06 18:00:00,2018-12-07 01:00:00,11225.443359375,1655.7701416015625,3044.6279296875,13181.0654296875,1038.4774169921875,6535.87255859375,3136.0625,1455.8814697265625
2018-12-06 18:00:00,2018-12-07 02:00:00,10790.3369140625,1576.9898681640625,3154.101806640625,12502.572265625,973.54052734375,6303.79931640625,3068.451416015625,1318.657470703125
2018-12-06 18:00:00,2018-12-07 03:00:00,10575.59765625,1551.5357666015625,2976.974853515625,12091.5,959.0160522460938,6111.779296875,2974.3359375,1313.8392333984375
2018-12-06 18:00:00,2018-12-07 04:00:00,9680.0537109375,1448.83544921875,2921.34326171875,11596.4765625,890.8302612304688,5781.3564453125,2796.7890625,1249.64453125
2018-12-06 18:00:00,2018-12-07 05:00:00,9550.0341796875,1420.37255859375,3064.840087890625,11098.732421875,910.0572509765625,5638.31982421875,2713.587158203125,1258.709228515625
2018-12-07 00:00:00,2018-12-07 06:00:00,9603.306640625,1329.0712890625,3088.225341796875,11274.228515625,884.1254272460938,5182.26904296875,2466.1376953125,1263.20068359375
2018-12-07 00:00:00,2018-12-07 07:00:00,9484.9287109375,1336.923828125,2989.09033203125,11074.224609375,908.3609008789062,5112.22607421875,2607.435546875,1287.1280517578125
2018-12-07 00:00:00,2018-12-07 08:00:00,9619.416015625,1383.07763671875,3184.67041015625,10940.39453125,922.2404174804688,5110.65283203125,2653.455322265625,1273.569091796875
2018-12-07 00:00:00,2018-12-07 09:00:00,9979.7265625,1426.6405029296875,3096.055908203125,11465.751953125,938.9822998046875,5356.8369140625,2742.660888671875,1317.9381103515625
2018-12-07 00:00:00,2018-12-07 10:00:00,9694.6025390625,1483.0654296875,3084.486572265625,12211.6943359375,979.2639770507812,5592.4697265625,2770.90625,1363.9952392578125
2018-12-07 00:00:00,2018-12-07 11:00:00,10183.7578125,1557.86669921875,3180.212646484375,12948.099609375,1035.7528076171875,5888.26220703125,2963.582763671875,1471.47900390625
2018-12-07 06:00:00,2018-12-07 12:00:00,10502.82421875,1533.5252685546875,3156.938720703125,13158.8017578125,1032.2669677734375,6006.86083984375,2813.97998046875,1424.8638916015625
2018-12-07 06:00:00,2018-12-07 13:00:00,10671.16796875,1585.045654296875,3068.45703125,13429.986328125,1073.214599609375,6209.9775390625,3007.71728515625,1418.40625
2018-12-07 06:00:00,2018-12-07 14:00:00,10787.4091796875,1625.5869140625,3268.643798828125,13323.1611328125,1037.0244140625,6292.62158203125,3047.9228515625,1355.8092041015625
2018-12-07 06:00:00,2018-12-07 15:00:00,10988.212890625,1603.2977294921875,3022.42041015625,13723.3330078125,994.5853881835938,6268.22412109375,3086.589111328125,1312.7491455078125
2018-12-07 06:00:00,2018-12-07 16:00:00,10485.7275390625,1645.8206787109375,3011.30078125,13633.1806640625,1009.7678833007812,6210.63720703125,3043.950927734375,1322.1304931640625
2018-12-07 06:00:00,2018-12-07 17:00:00,10622.8056640625,1645.5703125,3006.536376953125,13302.2265625,935.1328735351562,6296.3984375,3108.028564453125,1353.8125
2018-12-07 12:00:00,2018-12-07 18:00:00,10673.2509765625,1623.9742431640625,2973.531494140625,13761.837890625,1015.4053955078125,6336.763671875,2866.598388671875,1327.5892333984375
2018-12-07 12:00:00,2018-12-07 19:00:00,10631.49609375,1633.826416015625,2918.75634765625,13573.63671875,1018.803466796875,6376.373046875,2988.0537109375,1277.2188720703125
2018-12-07 12:00:00,2018-12-07 20:00:00,10743.9921875,1677.147705078125,3153.60693359375,13943.65234375,1015.72021484375,6549.76513671875,3083.046875,1309.5906982421875
2018-12-07 12:00:00,2018-12-07 21:00:00,10916.333984375,1722.6673583984375,3027.23779296875,14423.30859375,974.2777709960938,6785.3046875,3157.683837890625,1346.845458984375
2018-12-07 12:00:00,2018-12-07 22:00:00,10464.26171875,1816.174072265625,3080.177734375,14321.67578125,954.1118774414062,6833.52685546875,3135.322998046875,1335.3360595703125
2018-12-07 12:00:00,2018-12-07 23:00:00,10584.37890625,1830.5850830078125,3169.7578125,14731.3447265625,996.93505859375,7080.51171875,3193.522216796875,1413.590087890625
2018-12-07 18:00:00,2018-12-08 00:00:00,11289.658203125,1799.4149169921875,3140.17431640625,14540.9814453125,1100.95361328125,7098.376953125,3194.5771484375,1588.211181640625
2018-12-07 18:00:00,2018-12-08 01:00:00,10871.384765625,1722.807373046875,3074.3154296875,14107.4541015625,1112.6402587890625,6895.634765625,3191.892822265625,1542.3790283203125
2018-12-07 18:00:00,2018-12-08 02:00:00,10559.8056640625,1664.006591796875,3376.325439453125,13474.2421875,1035.578125,6698.611328125,3107.827880859375,1563.3231201171875
2018-12-07 18:00:00,2018-12-08 03:00:00,10305.3896484375,1621.88525390625,3122.01708984375,13235.8515625,1020.8763427734375,6543.27392578125,2983.16357421875,1513.19970703125
2018-12-07 18:00:00,2018-12-08 04:00:00,9426.140625,1561.5133056640625,3116.49951171875,12723.0224609375,952.2423706054688,6265.77001953125,2893.57373046875,1368.88427734375
2018-12-07 18:00:00,2018-12-08 05:00:00,9248.4189453125,1525.7408447265625,3241.609619140625,12413.17578125,968.76904296875,6081.17333984375,2774.78076171875,1389.0794677734375
2018-12-08 00:00:00,2018-12-08 06:00:00,9417.806640625,1427.812744140625,3109.416748046875,12127.2685546875,952.6554565429688,5856.15673828125,2582.32568359375,1393.720947265625
2018-12-08 00:00:00,2018-12-08 07:00:00,9311.7705078125,1422.3726806640625,3008.917236328125,11982.796875,983.1122436523438,5893.62158203125,2634.192626953125,1377.4168701171875
2018-12-08 00:00:00,2018-12-08 08:00:00,9490.1474609375,1495.929931640625,3298.578857421875,11819.8466796875,981.0093383789062,5904.162109375,2675.5361328125,1414.7550048828125
2018-12-08 00:00:00,2018-12-08 09:00:00,9980.0869140625,1519.6011962890625,3081.203369140625,12268.3125,998.3883666992188,6076.70703125,2794.18359375,1430.4952392578125
2018-12-08 00:00:00,2018-12-08 10:00:00,9596.880859375,1563.49267578125,3143.637451171875,12740.2431640625,1021.23681640625,6316.8623046875,2891.07275390625,1452.890625
2018-12-08 00:00:00,2018-12-08 11:00:00,9946.537109375,1630.3978271484375,3190.04638671875,13564.421875,1069.05712890625,6632.93505859375,2974.03271484375,1507.9871826171875
2018-12-08 06:00:00,2018-12-08 12:00:00,10104.65625,1655.7410888671875,3136.888671875,14096.0302734375,1088.9405517578125,6760.6689453125,2853.28857421875,1548.681396484375
2018-12-08 06:00:00,2018-12-08 13:00:00,10101.8935546875,1745.6759033203125,3041.685546875,14243.615234375,1146.618896484375,6934.73095703125,3037.2001953125,1498.5791015625
2018-12-08 06:00:00,2018-12-08 14:00:00,10458.509765625,1784.225341796875,3358.231689453125,14292.728515625,1136.510986328125,7023.9921875,3140.396240234375,1478.858154296875
2018-12-08 06:00:00,2018-12-08 15:00:00,10625.6064453125,1765.76513671875,3023.01953125,14421.65234375,1083.7115478515625,6910.853515625,3192.7509765625,1428.030029296875
2018-12-08 06:00:00,2018-12-08 16:00:00,10151.7763671875,1782.866455078125,3054.014892578125,14001.44140625,1096.072265625,6762.599609375,3146.529541015625,1458.406494140625
2018-12-08 06:00:00,2018-12-08 17:00:00,10151.75390625,1740.3387451171875,3075.344970703125,13728.650390625,1020.3224487304688,6669.7646484375,3136.189697265625,1398.6883544921875
2018-12-08 12:00:00,2018-12-08 18:00:00,10493.369140625,1776.0870361328125,2948.42822265625,14856.341796875,1030.321533203125,6763.98828125,2971.673828125,1525.567138671875
2018-12-08 12:00:00,2018-12-08 19:00:00,10366.5439453125,1777.890380859375,2897.008544921875,14491.1845703125,1107.1553955078125,6685.8603515625,3153.13916015625,1454.052978515625
2018-12-08 12:00:00,2018-12-08 20:00:00,10465.5791015625,1781.96728515625,3105.71728515625,14840.021484375,1109.9754638671875,6794.2041015625,3186.410400390625,1428.3675537109375
2018-12-08 12:00:00,2018-12-08 21:00:00,10612.7998046875,1812.0498046875,2917.862548828125,15118.8017578125,1093.617919921875,6974.47021484375,3206.74365234375,1452.44482421875
2018-12-08 12:00:00,2018-12-08 22:00:00,10391.2373046875,1894.4827880859375,2953.09814453125,15273.5341796875,1058.0302734375,7037.7646484375,3214.729248046875,1455.8861083984375
2018-12-08 12:00:00,2018-12-08 23:00:00,10566.76953125,1928.0743408203125,3117.197021484375,15752.7822265625,1051.9259033203125,7407.73291015625,3249.85205078125,1527.911376953125
2018-12-08 18:00:00,2018-12-09 00:00:00,11641.69140625,1965.8931884765625,3051.45068359375,16074.6865234375,1152.245849609375,7654.97412109375,3288.238525390625,1608.9493408203125
