Time,Coast,East,Far_West,North,North_Central,South_Central,Southern,West
2018-01-01 00:00:00,11542.206949869791,2159.7684936523438,2928.5559285481772,1492.4290974934895,20128.135091145832,9596.862060546875,3767.965087890625,2071.551717122396
2018-01-01 01:00:00,11419.623291015625,2151.0805867513022,2909.9756876627603,1474.7140706380208,19664.329915364582,9517.609375,3697.8259887695312,2054.0054219563804
2018-01-01 02:00:00,11282.017740885416,2126.2317097981772,2876.8442179361978,1446.638407389323,19171.064127604168,9403.769856770834,3687.2977905273438,2028.9361063639324
2018-01-01 03:00:00,11126.442545572916,2097.0849405924478,2820.5883585611978,1423.0091756184895,18738.75244140625,9256.470865885416,3694.4785970052085,2000.5756530761719
2018-01-01 04:00:00,11021.150553385416,2076.6065877278647,2759.9651692708335,1409.7554423014324,18516.58935546875,9230.251627604166,3750.7044474283853,1980.2487691243489
2018-01-01 05:00:00,10949.007649739584,2082.2360229492188,2724.649373372396,1413.4843241373699,18391.28076171875,9191.316731770834,3863.5062662760415,1967.4893391927083
2018-01-01 06:00:00,10948.735677083334,2089.4340209960938,2694.14501953125,1410.425537109375,18404.383138020832,9200.351643880209,3994.2259114583335,1957.8804931640625
2018-01-01 07:00:00,10947.719156901041,2096.831583658854,2670.758056640625,1405.6243896484375,18474.743489583332,9199.187744140625,4078.8626912434897,1937.2820739746094
2018-01-01 08:00:00,11053.769368489584,2126.212158203125,2683.080322265625,1414.3590698242188,18652.483723958332,9203.8896484375,4171.316731770833,1923.8199055989583
2018-01-01 09:00:00,11292.416748046875,2178.7375691731772,2701.388916015625,1434.4916585286458,19023.198893229168,9309.675537109375,4289.812418619792,1928.883524576823
2018-01-01 10:00:00,11621.209635416666,2244.6291707356772,2689.0435180664062,1467.9912109375,19542.43017578125,9535.544677734375,4421.4128011067705,1988.404073079427
2018-01-01 11:00:00,11912.42724609375,2309.8512369791665,2676.6265258789062,1497.1509094238281,19992.600423177082,9744.65478515625,4543.833251953125,2032.0358276367188
2018-01-01 12:00:00,12010.573974609375,2342.8365071614585,2675.6271769205728,1516.7176717122395,20204.008951822918,9822.032958984375,4618.421875,2069.928507486979
2018-01-01 13:00:00,12325.176513671875,2352.465861002604,2653.6502278645835,1569.4747619628906,20154.503743489582,9957.041910807291,4769.4190673828125,2032.6802775065105
2018-01-01 14:00:00,12509.738362630209,2315.3326212565103,2647.7556966145835,1597.1658020019531,19995.2724609375,10096.713785807291,4955.7834879557295,1997.464864095052
2018-01-01 15:00:00,12566.092203776041,2239.3150431315103,2622.2811279296875,1585.0557352701824,19615.199869791668,10103.887776692709,5060.4779866536455,1936.9623209635417
