Facility.Name,longi,lati,Capacity,BA,state,type,Group,exactCoord,wind_turbine_hub_ht,wind_turbine_rotor_diameter,rotor_swept_area_m2,manufacturer,model,config,turb_generic_loss,Region
Number 3 Wind Energy,-75.442617,43.786397,105.8,NYISO,NY,wind,planned,False,80.0,77.0,4656.63,GE Wind,GE1.5-77,ge77_1500,8.520980455,MHK VL
NY Wind - East Garden City,-73.589384,40.729687,1325.0,NYISO,NY,wind,planned,False,80.0,82.0,5281.02,Vestas,V82-1.65,v82_1650,8.935006033,LONGIL
NY Wind - Mott Haven,-73.852939,40.848711,1400.0,NYISO,NY,wind,planned,False,80.0,93.0,6792.91,Clipper,C93,c93,9.411092215,N.Y.C.
NY Wind - Pilgrim,-72.692218,40.943554,1325.0,NYISO,NY,wind,planned,False,80.0,77.0,4656.63,GE Wind,GE1.5-77,ge77_1500,8.405071225,LONGIL
NY Wind Gowanus,-73.990348,40.673337,1200.0,NYISO,NY,wind,planned,True,80.0,77.0,4656.63,GE Wind,GE1.5-77,ge77_1500,8.806407464,N.Y.C.
NY Wind Holbrook,-73.078443,40.812321,880.0,NYISO,NY,wind,planned,True,65.0,70.5,3903.63,GE Wind,GE1.5-70.5,ge70_1500,9.617995357,LONGIL
NY Wind Holbrook 2,-72.692218,40.943554,1974.0,NYISO,NY,wind,planned,False,93.0,114.0,10207.03,Gamesa,G114-2.1,g114,8.858294508,LONGIL
Orangeville Wind,-78.24060376,42.7461636,93.96,NYISO,NY,wind,existing,True,80.0,100.0,7853.98,GE Wind,GE1.62-100,ge100_1600,9.050224244,WEST
Prattsburgh Wind Farm,-77.296818,42.590002,147.0,NYISO,NY,wind,planned,True,80.0,77.0,4656.63,GE Wind,GE1.5-77,ge77_1500,8.890719135,CENTRL
Roaring Brook Wind,-75.442617,43.786397,79.7,NYISO,NY,wind,planned,False,80.0,82.0,5281.02,Vestas,V82-1.65,v82_1650,8.41076472,MHK VL
Rolling Upland Wind,-75.453581,42.874636,72.6,NYISO,NY,wind,planned,True,67.0,66.0,3421.19,Vestas,V66-1.65,v66_1650,9.03829541,MHK VL
South Fork Wind Farm,-72.692218,40.943554,96.0,NYISO,NY,wind,planned,False,80.0,103.0,8332.29,GE Wind,GE1.62-103,ge100_1600,9.124922201,LONGIL
South Fork Wind Farm II,-72.692218,40.943554,40.0,NYISO,NY,wind,planned,False,80.0,77.0,4656.63,GE Wind,GE1.5-77,ge77_1500,8.52977712,LONGIL
Steel Winds,-78.86763562,42.8178915,20.0,NYISO,NY,wind,existing,True,80.0,93.0,6792.91,Clipper,C93,c93,8.663906495,WEST
Steel Winds II,-78.861697,42.80724183,15.0,NYISO,NY,wind,existing,True,80.0,96.0,7238.23,Clipper,C96,c96,10.09439675,WEST
Stockbridge Wind,-75.657825,43.070465,72.6,NYISO,NY,wind,planned,True,80.0,77.0,4656.63,GE Wind,GE1.5-77,ge77_1500,8.063340483,MHK VL
Vineyard Wind I,-73.589384,40.729687,1403.0,NYISO,NY,wind,planned,False,80.0,77.0,4656.63,GE Wind,GE1.5-77,ge77_1500,9.148286956,LONGIL
Vineyard Wind II,-72.692218,40.943554,1403.0,NYISO,NY,wind,planned,False,78.5,92.5,6720.06,REpower,MM92,mm92,8.86159811,LONGIL
Wethersfield,-78.2453368,42.682782,6.6,NYISO,NY,wind,existing,True,65.0,47.0,1734.94,Vestas,V47-0.66,v47_660,8.505228452,WEST
Zotos,-76.9679985,42.8866425,3.3,NYISO,NY,wind,existing,True,70.0,82.0,5281.02,Hyundai,HQ1650,v82_1650,9.956918048,CENTRL
