site_ids,longitude,latitude,AC_capacity_MW,BA,state,type,proposed,exactCoord,id,module_type,array_type,cap_MW_DC,dc_ac_ratio,tilt,system_capacity,losses,Zone
"CJ Solar I, LLC",-75.3,44.7,2.8,NYISO,NY,solar,existing,True,61719.0,0,0,2.8,1.4,44.7,2800.0,7.06732443800724,MHK VL
Clarkson Solar,-74.94944,44.671944,2.3,NYISO,NY,solar,existing,True,59623.0,0,0,2.3,1.15,44.671944,2300.0,6.8356889042195,MHK VL
Clarkstown Landfill Solar Facility,-73.95159,41.100409,2.0,NYISO,NY,solar,existing,True,60004.0,1,0,2.0,1.0,41.100409,2000.0,6.83216640878258,HUD VL
Clay Solar,-76.196117,43.00653,30.0,NYISO,NY,solar,planned,False,,0,0,,1.5,43.00653,30000.0,6.39152069850625,CENTRL
Clear View Solar,-77.385525,42.266725,20.0,NYISO,NY,solar,planned,False,,0,0,,1.0,42.266725,20000.0,6.41258172180655,CENTRL
CMR Solar LLC,-74.34591,41.561847,2.8,NYISO,NY,solar,existing,True,62486.0,0,0,2.8,1.4,41.561847,2800.0,7.46879901493016,HUD VL
Cobleskill Solar Project,-74.485426,42.677851,29.7,NYISO,NY,solar,planned,True,,0,0,,1.5,42.677851,29700.0,6.79668258090864,CAPITL
Cohalan,-73.19444,40.762465,4.4,NYISO,NY,solar,existing,True,58790.0,0,0,4.4,1.1,40.762465,4400.0,7.6711287226334,LONGIL
Columbia County 1,-73.626805,42.247729,70.8,NYISO,NY,solar,planned,False,,0,2,,1.18,0.0,70800.0,5.58298181009311,CAPITL
Columbia Solar Energy Center,-75.037751,42.93801,525.0,NYISO,NY,solar,planned,True,,0,0,,1.5,42.93801,525000.0,7.08585242877547,MHK VL
Columbia University - Johnson Farms,-74.2638,41.379107,2.9,NYISO,NY,solar,existing,True,61576.0,0,0,2.9,1.45,41.379107,2900.0,6.64671474875785,HUD VL
Columbia University - Minisink,-74.55445,41.293747,2.9,NYISO,NY,solar,existing,True,61578.0,0,0,2.9,1.45,41.293747,2900.0,6.35140129678949,HUD VL
Cornell Geneva Solar Farm,-77.031,42.866,2.8,NYISO,NY,solar,existing,True,60150.0,0,0,2.8,1.4,42.866,2800.0,6.67626976614171,CENTRL
Cornell Snyder Road Solar Array,-76.46,42.4975,1.8,NYISO,NY,solar,existing,True,59470.0,0,0,1.8,1.0,42.4975,1800.0,6.81691679583247,CENTRL
Cortland Energy Center,-75.992765,42.544092,74.5625,NYISO,NY,solar,planned,True,,0,0,,1.49125,42.544092,74562.5,6.3827262958258,CENTRL
"COU Solar I, LLC",-75.3,44.7,1.9,NYISO,NY,solar,existing,True,61720.0,0,0,1.9,1.26666666666667,44.7,1900.0,6.97283223226593,MHK VL
Coverdale Solar,-77.76978,42.727485,29.0,NYISO,NY,solar,planned,False,,0,0,,1.45,42.727485,29000.0,6.04967631488389,WEST
CS Hawthorn Solar,-73.670848,42.715745,27.1428571428572,NYISO,NY,solar,planned,True,,0,2,,1.35714285714286,0.0,27142.8571428572,6.66230820910867,CAPITL
"Cummins, Inc",-79.36125,42.08124,2.0,NYISO,NY,solar,existing,True,60453.0,0,0,2.0,1.0,42.08124,2000.0,6.01285261602569,WEST
Czub CSG,-73.59598,42.91408,3.0,NYISO,NY,solar,existing,True,63057.0,0,2,3.0,1.5,0.0,3000.0,6.41923595616525,CAPITL
Darby Solar,-73.535176,43.028806,28.0,NYISO,NY,solar,planned,True,,0,0,,1.4,43.028806,28000.0,6.18957268220034,CAPITL
Declaration Energy Center,-76.827088,42.782294,478.947368421053,NYISO,NY,solar,planned,False,,0,0,,1.36842105263158,42.782294,478947.368421053,5.82248484851859,CENTRL
Deer Park,-73.19389,40.760833,3.0,NYISO,NY,solar,existing,True,58786.0,0,0,3.0,1.2,40.760833,3000.0,6.91160477387544,LONGIL
Delight Farm,-76.574587,43.008546,23.52,NYISO,NY,solar,planned,False,,0,0,,1.4,43.008546,23520.0,6.55245767092276,CENTRL
Dennison,-73.32361,40.763056,2.0,NYISO,NY,solar,existing,True,58787.0,0,0,2.0,1.0,40.763056,2000.0,6.89092649100861,LONGIL
Dog Corners Solar,-76.661804,42.747193,28.0,NYISO,NY,solar,planned,True,,0,2,,1.4,0.0,28000.0,6.48312447503869,CENTRL
Dolan Solar,-73.439428,43.312377,28.0,NYISO,NY,solar,planned,False,,0,0,,1.4,43.312377,28000.0,6.50859610642665,CAPITL
Dover CSG,-73.57657,41.680879,3.1,NYISO,NY,solar,existing,True,63106.0,0,2,3.1,1.55,0.0,3100.0,6.62324897196637,HUD VL
Dryden Rd #2 Community Solar Farm CSG,-76.31998,42.487821,1.7,NYISO,NY,solar,existing,True,62477.0,0,0,1.7,1.30769230769231,42.487821,1700.0,7.32883711706526,CENTRL
Duanesburg,-74.20155,42.762173,3.0,NYISO,NY,solar,existing,True,61863.0,0,0,3.0,1.5,42.762173,3000.0,6.5012331382783,CAPITL
East Light Energy Center,-74.452565,42.915521,50.0,NYISO,NY,solar,planned,True,,0,0,,1.25,42.915521,50000.0,6.16966119187994,CAPITL
East Point Solar,-74.439909,42.591982,50.0,NYISO,NY,solar,planned,True,,0,2,,1.0,0.0,50000.0,6.26250417024029,CAPITL
Ellis Solar,-76.433751,42.448941,27.0,NYISO,NY,solar,existing,True,62413.0,0,0,27.0,1.5,42.448941,27000.0,6.56717175447521,CENTRL
Ellsworth I CSG,-73.7098,42.899313,3.1,NYISO,NY,solar,existing,True,63112.0,0,2,3.1,1.55,0.0,3100.0,6.79509067041201,CAPITL
ELP Rotterdam Solar,-74.043583,42.817542,30.0,NYISO,NY,solar,planned,False,,0,0,,1.5,42.817542,30000.0,6.39981715947657,CAPITL
ELP Stillwater Solar,-73.855387,43.106135,25.0,NYISO,NY,solar,planned,False,,0,0,,1.25,43.106135,25000.0,6.62501421078226,CAPITL
Empire Solar,-79.407595,42.304216,236.85,NYISO,NY,solar,planned,False,,0,0,,1.5,42.304216,236850.0,7.02108527414331,WEST
Enfield Community Solar,-76.59481,42.453307,2.3,NYISO,NY,solar,existing,True,62029.0,0,0,2.3,1.27777777777778,42.453307,2300.0,6.16496813497427,CENTRL
Erie-Wyoming County Solar,-78.228567,42.701363,218.75,NYISO,NY,solar,planned,False,,0,0,,1.25,42.701363,218750.0,6.06830728503376,WEST
Excelsior Energy Center,-78.156443,42.983784,420.0,NYISO,NY,solar,planned,True,,0,2,,1.5,0.0,420000.0,6.41651029057336,WEST
Fairway Solar,-75.074311,44.488113,25.0,NYISO,NY,solar,planned,False,,0,0,,1.25,44.488113,25000.0,6.77665922103572,MHK VL
Farwell Solar,-78.23164,43.25328,30.0,NYISO,NY,solar,planned,True,,0,0,,1.5,43.25328,30000.0,6.51898325398572,WEST
Finger Lakes Solar I,-77.04563,42.814025,2.9,NYISO,NY,solar,existing,True,61210.0,0,0,2.9,1.45,42.814025,2900.0,6.35133073894225,CENTRL
Flat Creek Solar,-74.435358,42.900891,220.0,NYISO,NY,solar,planned,False,,0,0,,1.1,42.900891,220000.0,6.69962057704271,CAPITL
Flat Creek Solar 2,-74.435358,42.900891,100.0,NYISO,NY,solar,planned,False,,0,0,,1.0,42.900891,100000.0,7.10109352997589,CAPITL
Flat Hill Solar,-74.874104,43.163059,29.0,NYISO,NY,solar,planned,True,,0,0,,1.45,43.163059,29000.0,6.0051318962578,MHK VL
Flint Mine Solar,-73.841342,42.322371,100.0,NYISO,NY,solar,planned,True,,0,2,,1.0,0.0,100000.0,6.90658142769448,HUD VL
Forrence Orchards,-73.705648,44.75271,27.72,NYISO,NY,solar,planned,False,,0,0,,1.4,44.75271,27720.0,6.06450195390343,NORTH
Fort Edward Solar Farm (NY53),-73.439428,43.312377,125.0,NYISO,NY,solar,planned,False,,0,0,,1.25,43.312377,125000.0,6.81036233865696,CAPITL
Franklin Solar,-74.31067,44.594374,225.0,NYISO,NY,solar,planned,False,,0,0,,1.5,44.594374,225000.0,6.63087205528989,MHK VL
Franklin Solar Site,-74.30652,44.86832,2.1,NYISO,NY,solar,existing,True,62784.0,0,0,2.1,1.3125,44.86832,2100.0,7.04934941077344,MHK VL
Frog Hollow CSG,-74.49671,41.739327,2.0,NYISO,NY,solar,existing,True,63086.0,0,2,2.0,1.0,0.0,2000.0,6.35138243020871,HUD VL
Garnet Energy Center,-76.548645,42.765943,250.0,NYISO,NY,solar,planned,True,,0,0,,1.25,42.765943,250000.0,6.31905028471461,CENTRL
Garnet Solar (NY),-74.06238,43.723851,2.6,NYISO,NY,solar,existing,True,62843.0,0,0,2.6,1.36842105263158,43.723851,2600.0,6.9358166058495,CAPITL
Gaskill Rd Community Solar Farm CSG,-76.183,42.116,6.3,NYISO,NY,solar,existing,True,62474.0,0,0,6.3,1.26,42.116,6300.0,7.08731687498796,CENTRL
Gedney Hill Solar,-73.891381,42.453938,24.0,NYISO,NY,solar,planned,True,,0,0,,1.2,42.453938,24000.0,6.43786590010626,HUD VL
Genesee Road Solar Energy Center,-78.688302,42.552555,402.5,NYISO,NY,solar,planned,True,,0,2,,1.15,0.0,402500.0,6.4585025230091,WEST
Gifford CSG,-74.07086,42.82395,3.0,NYISO,NY,solar,existing,True,63056.0,0,2,3.0,1.5,0.0,3000.0,6.72596059163742,CAPITL
Gore Mountain Solar II,-73.32307,43.543378,2.5,NYISO,NY,solar,existing,True,61764.0,0,0,2.5,1.25,43.543378,2500.0,6.24528234727506,CAPITL
Grand Prix Solar,-73.72252,41.21125,1.9,NYISO,NY,solar,existing,True,63291.0,0,0,1.9,1.0,41.21125,1900.0,7.17798968077525,MILLWD
Grassy Knoll Solar,-74.96053,43.461515,20.0,NYISO,NY,solar,planned,True,,0,0,,1.0,43.461515,20000.0,6.57227701851525,MHK VL
Greene County 1,-74.149495,42.286951,20.0,NYISO,NY,solar,planned,False,,0,2,,1.0,0.0,20000.0,6.52813672117599,MHK VL
Greene County 2,-74.149495,42.286951,10.0,NYISO,NY,solar,planned,False,,0,0,,1.0,42.286951,10000.0,6.61865913160725,MHK VL
Greene County 3,-74.149495,42.286951,28.235294117647,NYISO,NY,solar,planned,False,,0,0,,1.41176470588235,42.286951,28235.294117647,6.61545728093133,MHK VL
Greene County Energy,-74.149495,42.286951,26.0,NYISO,NY,solar,planned,False,,0,2,,1.3,0.0,26000.0,5.93796750360522,MHK VL
Greenville CSG,-74.622,41.356,2.8,NYISO,NY,solar,existing,True,62759.0,0,0,2.8,1.4,41.356,2800.0,7.04031901567572,HUD VL
Grissom Solar,-74.241409,43.132673,20.0,NYISO,NY,solar,planned,True,,0,2,,1.0,0.0,20000.0,6.34345021925416,CAPITL
Guildlerland CSG,-74.00081,42.727288,3.0,NYISO,NY,solar,existing,True,63052.0,0,2,3.0,1.5,0.0,3000.0,6.82503832235584,CAPITL
Half Moon Solar,-73.513845,42.710421,26.1538461538462,NYISO,NY,solar,planned,False,,0,0,,1.30769230769231,42.710421,26153.8461538462,6.40080524903587,CAPITL
