site_ids,longitude,latitude,AC_capacity_MW,BA,state,type,proposed,exactCoord,id,module_type,array_type,cap_MW_DC,dc_ac_ratio,tilt,system_capacity,losses,Zone
Malone Solar Site,-74.30725,44.870858,1.4,NYISO,NY,solar,existing,True,62785.0,0,0,1.4,1.27272727272727,44.870858,1400.0,7.05741378699841,MHK VL
Manchester Solar,-77.303277,42.856695,28.0,NYISO,NY,solar,planned,False,,0,0,,1.4,42.856695,28000.0,5.41257047209746,GENESE
Marshville Solar,-74.435358,42.900891,28.0,NYISO,NY,solar,planned,False,,0,2,,1.4,0.0,28000.0,6.46294725871478,CAPITL
Martin Rd Solar,-78.681006,42.244853,30.0,NYISO,NY,solar,planned,False,,0,0,,1.5,42.244853,30000.0,6.28436210324477,WEST
Mattas Farms,-74.21625,42.893714,2.8,NYISO,NY,solar,existing,True,62303.0,0,0,2.8,1.4,42.893714,2800.0,6.90559545456165,CAPITL
Mereand CSG,-75.98679,43.96414,3.0,NYISO,NY,solar,existing,True,63058.0,0,2,3.0,1.5,0.0,3000.0,6.70990219696028,MHK VL
Mill Point Solar,-74.435358,42.900891,250.0,NYISO,NY,solar,planned,False,,0,0,,1.0,42.900891,250000.0,5.96485142817431,CAPITL
Millbrook School,-73.61949,41.84581,1.69999999999999,NYISO,NY,solar,existing,True,59789.0,0,2,1.7,1.21428571428571,0.0,1699.99999999999,6.89198657615556,HUD VL
Millers Grove Solar,-74.874103,43.163058,28.0,NYISO,NY,solar,planned,True,,0,0,,1.4,43.163058,28000.0,6.38993228695056,MHK VL
Milliken Solar Project,-76.574587,43.008546,282.35294117647,NYISO,NY,solar,planned,False,,0,0,,1.41176470588235,43.008546,282352.94117647,6.37364620875995,CENTRL
Mineral Basin Solar Power,-78.473749,41.000249,562.24,NYISO,PA,solar,planned,False,,0,0,,1.4,41.000249,562240.0,6.81032973497895,WEST
Minisink Community Solar 2 LLC,-74.51528,41.319351,2.8,NYISO,NY,solar,existing,True,62146.0,0,0,2.8,1.0,41.319351,2800.0,7.08725134395224,HUD VL
Minisink Solar 1 LLC,-74.51408,41.321224,2.80000000000001,NYISO,NY,solar,existing,True,62145.0,0,0,2.8,1.55555555555556,41.321224,2800.00000000001,6.70359300283939,HUD VL
Mohawk Solar,-74.665087,42.963958,126.7,NYISO,NY,solar,planned,True,,0,0,,1.4,42.963958,126700.0,6.39240923838636,CAPITL
Mohonasen Central School District,-73.95685,42.767228,1.5,NYISO,NY,solar,existing,True,63511.0,0,0,1.5,1.36363636363636,42.767228,1500.0,7.31045717953774,CAPITL
Monroe County Sites A & B,-77.39223,43.174071,4.79999999999999,NYISO,NY,solar,existing,True,61509.0,0,0,4.8,1.41176470588235,43.174071,4799.99999999999,7.14838797130749,GENESE
"Monroe County Sites C, D, & E",-77.743641,43.317111,8.4,NYISO,NY,solar,existing,True,61510.0,0,0,8.4,1.4,43.317111,8400.0,6.60007805272477,GENESE
Moraine Solar Energy Center,-78.026176,42.247894,127.5,NYISO,NY,solar,planned,False,,0,0,,1.36363636363636,42.247894,127500.0,6.45037305544123,GENESE
Morris Ridge Solar Energy Center,-77.385525,42.266725,256.65,NYISO,NY,solar,planned,False,,0,2,,1.45,0.0,256650.0,6.95305964833063,CENTRL
Morris Solar Project,-74.930206,44.447314,36.0,NYISO,NY,solar,planned,True,,0,0,,1.8,44.447314,36000.0,6.09473634553127,MHK VL
