Time,CAPITL,CENTRL,DUNWOD,GENESE,HUD VL,LONGIL,MHK VL,MILLWD,N.Y.C.,NORTH,WEST
2018-01-01 05:00:00+00:00,1609.3,2067.2,695.9,1152.2,1284.7,2596.1,1076.0,400.9,6073.3,664.0,1846.9
2018-01-01 06:00:00+00:00,1562.3,2024.2,668.0,1118.2,1228.1,2482.9,1041.8,394.8,5905.7,661.3,1794.2
2018-01-01 07:00:00+00:00,1540.9,1986.2,644.2,1091.1,1192.0,2384.0,1026.7,390.1,5744.7,654.4,1765.6
2018-01-01 08:00:00+00:00,1529.8,1958.1,619.6,1072.8,1190.7,2327.2,1016.1,377.4,5625.7,656.5,1763.7
2018-01-01 09:00:00+00:00,1528.9,1926.6,612.7,1072.7,1190.2,2309.9,1019.6,379.5,5572.0,660.0,1745.9
2018-01-01 10:00:00+00:00,1533.4,1964.1,625.1,1093.4,1203.0,2327.3,1040.2,384.9,5595.4,663.2,1759.7
2018-01-01 11:00:00+00:00,1575.0,2027.7,637.0,1130.4,1226.6,2371.9,1072.6,397.1,5721.3,674.9,1808.0
2018-01-01 12:00:00+00:00,1613.4,2085.4,647.8,1167.0,1243.4,2386.4,1112.2,407.3,5811.4,678.0,1858.7
2018-01-01 13:00:00+00:00,1674.1,2134.0,659.7,1184.0,1285.9,2449.5,1162.0,421.4,5969.1,694.0,1879.1
2018-01-01 14:00:00+00:00,1731.2,2202.7,680.8,1222.3,1331.1,2542.2,1196.9,424.6,6148.2,690.5,1924.9
2018-01-01 15:00:00+00:00,1765.4,2235.7,711.8,1247.9,1361.1,2625.8,1221.9,437.1,6300.9,661.2,1955.1
2018-01-01 16:00:00+00:00,1775.4,2213.0,722.4,1263.8,1366.8,2671.3,1222.8,435.3,6455.7,657.2,1961.1
2018-01-01 17:00:00+00:00,1777.8,2184.9,741.5,1273.4,1371.7,2688.5,1210.2,431.8,6526.0,655.8,1968.6
2018-01-01 18:00:00+00:00,1767.6,2174.9,735.1,1266.8,1353.7,2683.5,1192.2,430.9,6556.4,642.5,1975.2
2018-01-01 19:00:00+00:00,1753.1,2192.3,739.8,1262.7,1343.7,2695.4,1173.2,435.1,6578.9,640.6,1970.3
2018-01-01 20:00:00+00:00,1758.7,2235.0,748.8,1286.4,1372.3,2746.2,1180.6,429.6,6628.7,643.5,1984.9
2018-01-01 21:00:00+00:00,1859.7,2354.4,795.3,1363.4,1446.7,2949.3,1227.8,463.2,6806.7,659.8,2055.2
2018-01-01 22:00:00+00:00,1980.6,2519.4,859.1,1495.4,1560.5,3232.4,1311.5,512.9,7081.9,679.0,2202.2
2018-01-01 23:00:00+00:00,1969.2,2511.3,868.8,1483.4,1559.0,3242.6,1307.6,522.6,7081.9,681.9,2206.6
2018-01-02 00:00:00+00:00,1945.2,2469.6,860.1,1451.8,1537.8,3187.2,1280.9,517.8,7024.2,680.5,2193.3
2018-01-02 01:00:00+00:00,1885.9,2426.3,841.1,1404.7,1499.7,3104.1,1240.5,498.5,6905.9,693.9,2150.1
2018-01-02 02:00:00+00:00,1798.3,2314.2,797.7,1334.9,1437.6,2958.9,1172.8,466.0,6725.4,684.9,2067.9
2018-01-02 03:00:00+00:00,1686.7,2168.4,736.9,1237.5,1336.3,2738.0,1085.6,429.1,6433.3,658.6,1956.0
2018-01-02 04:00:00+00:00,1593.1,2066.1,680.0,1145.2,1254.4,2522.8,1028.2,392.6,6089.4,662.9,1841.2
2018-01-02 05:00:00+00:00,1542.0,1990.3,643.8,1097.8,1184.8,2372.2,986.0,385.2,5801.4,652.4,1783.4
2018-01-02 06:00:00+00:00,1516.8,1950.2,625.0,1068.7,1163.1,2278.7,973.1,359.4,5582.1,647.4,1743.8
2018-01-02 07:00:00+00:00,1505.0,1947.1,606.2,1058.4,1151.8,2246.0,966.6,353.3,5465.1,646.4,1729.5
2018-01-02 08:00:00+00:00,1505.2,1944.0,597.4,1057.6,1148.7,2235.6,973.5,353.7,5415.7,648.2,1728.5
2018-01-02 09:00:00+00:00,1532.9,1981.7,607.5,1087.8,1162.9,2267.4,995.2,361.4,5463.9,656.9,1763.5
2018-01-02 10:00:00+00:00,1605.2,2094.7,647.0,1163.3,1226.9,2386.0,1040.4,379.0,5723.2,672.7,1844.5
2018-01-02 11:00:00+00:00,1756.0,2274.6,710.3,1281.9,1326.8,2642.0,1141.5,424.5,6219.0,700.2,1979.0
2018-01-02 12:00:00+00:00,1840.2,2379.5,774.9,1367.9,1393.4,2797.9,1204.6,441.9,6705.3,717.4,2107.7
2018-01-02 13:00:00+00:00,1848.5,2389.8,802.2,1381.5,1401.1,2826.8,1247.5,437.2,7007.5,713.9,2142.9
2018-01-02 14:00:00+00:00,1863.4,2405.9,816.1,1404.9,1400.6,2821.0,1272.5,435.7,7230.3,708.7,2173.9
2018-01-02 15:00:00+00:00,1847.7,2421.2,818.9,1414.7,1395.1,2813.2,1277.3,431.0,7336.9,706.1,2197.5
2018-01-02 16:00:00+00:00,1833.3,2410.2,811.2,1414.1,1394.1,2782.0,1274.3,417.8,7360.1,702.1,2211.1
2018-01-02 17:00:00+00:00,1836.9,2369.9,806.8,1407.9,1379.7,2738.2,1250.1,417.4,7337.6,699.3,2204.1
2018-01-02 18:00:00+00:00,1837.5,2341.0,799.7,1391.0,1377.6,2714.4,1246.0,419.1,7304.4,695.5,2192.2
2018-01-02 19:00:00+00:00,1821.0,2328.5,798.5,1367.6,1372.2,2715.7,1228.9,417.3,7272.7,691.9,2127.6
2018-01-02 20:00:00+00:00,1820.5,2325.7,821.1,1368.4,1377.9,2779.8,1228.5,424.0,7299.6,690.0,2085.4
2018-01-02 21:00:00+00:00,1902.6,2391.7,849.1,1417.5,1445.6,2984.7,1281.4,453.1,7457.2,687.2,2151.6
2018-01-02 22:00:00+00:00,2017.0,2562.7,911.6,1544.5,1557.8,3281.0,1378.6,500.2,7668.9,680.1,2316.3
2018-01-02 23:00:00+00:00,2014.5,2555.9,920.7,1544.4,1577.6,3315.5,1388.3,515.3,7595.6,709.7,2333.3
2018-01-03 00:00:00+00:00,1972.2,2510.2,912.3,1505.2,1563.1,3257.4,1356.1,511.2,7477.2,701.9,2301.3
2018-01-03 01:00:00+00:00,1902.9,2437.3,883.2,1454.8,1524.5,3165.4,1307.3,493.3,7293.0,686.5,2240.3
2018-01-03 02:00:00+00:00,1798.4,2312.1,839.0,1374.0,1450.3,3000.5,1234.6,464.7,7050.3,667.1,2154.1
2018-01-03 03:00:00+00:00,1678.0,2190.5,763.7,1284.2,1349.1,2760.9,1137.2,423.8,6657.3,642.7,2063.6
2018-01-03 04:00:00+00:00,1571.9,2075.2,693.7,1192.3,1257.9,2521.1,1053.1,386.0,6205.4,627.3,1935.2
2018-01-03 05:00:00+00:00,1508.6,1998.0,654.8,1134.2,1194.7,2354.6,1007.6,365.6,5840.9,614.5,1847.3
2018-01-03 06:00:00+00:00,1476.4,1983.4,637.6,1112.6,1170.9,2259.5,976.1,352.9,5585.2,607.5,1790.4
2018-01-03 07:00:00+00:00,1462.0,1965.6,624.8,1099.3,1159.6,2206.0,975.1,351.0,5444.3,603.8,1759.8
2018-01-03 08:00:00+00:00,1465.2,1954.7,622.7,1100.9,1162.8,2198.3,961.3,355.9,5392.0,603.1,1755.2
